Server,Rate,Time
http://mirror.rit.edu/archlinux/,86.40 KiB/s,1.40 s
http://mir.archlinux.fr/,64.15 KiB/s,1.89 s
http://ftp.hosteurope.de/mirror/ftp.archlinux.org/,62.66 KiB/s,1.94 s
http://ftp.tu-chemnitz.de/pub/linux/archlinux/,59.60 KiB/s,2.04 s
http://ftp.eenet.ee/pub/archlinux/,50.82 KiB/s,2.39 s
http://ftp.mfa.kfki.hu/pub/mirrors/ftp.archlinux.org/,62.42 KiB/s,1.94 s
http://ftp5.gwdg.de/pub/linux/archlinux/,68.01 KiB/s,1.78 s
http://ftp.heanet.ie/mirrors/ftp.archlinux.org/,57.35 KiB/s,2.12 s
http://ftp.nluug.nl/os/Linux/distr/archlinux/,54.26 KiB/s,2.23 s
http://archlinux.puzzle.ch/,51.11 KiB/s,2.37 s
http://www.gtlib.gatech.edu/pub/archlinux/,63.59 KiB/s,1.91 s
http://ftp.uni-kl.de/pub/linux/archlinux/,70.05 KiB/s,1.73 s
http://ftp.linux.org.tr/archlinux/,42.19 KiB/s,2.87 s
http://ftp.uni-bayreuth.de/linux/archlinux/,54.95 KiB/s,2.21 s
http://mirror.csclub.uwaterloo.ca/archlinux/,96.88 KiB/s,1.25 s
http://archlinux.mirrors.uk2.net/,74.97 KiB/s,1.62 s
http://mirror.umd.edu/archlinux/,96.03 KiB/s,1.26 s
http://ftp-stud.hs-esslingen.de/pub/Mirrors/archlinux/,75.22 KiB/s,1.61 s
http://www.las.ic.unicamp.br/pub/archlinux/,26.29 KiB/s,4.61 s
http://mirror.archlinux.no/,76.17 KiB/s,1.59 s
http://mirror.isoc.org.il/pub/archlinux/,71.58 KiB/s,1.69 s
http://ftp.osuosl.org/pub/archlinux/,71.98 KiB/s,1.69 s
http://mirror.internode.on.net/pub/archlinux/,36.01 KiB/s,3.37 s
http://mirror.yandex.ru/archlinux/,58.43 KiB/s,2.08 s
http://archlinux.c3sl.ufpr.br/,44.91 KiB/s,2.70 s
http://mirror.ancl.hawaii.edu/linux/archlinux/,55.56 KiB/s,2.18 s
http://ftp.spline.inf.fu-berlin.de/mirrors/archlinux/,60.01 KiB/s,2.02 s
http://lug.mtu.edu/archlinux/,70.21 KiB/s,1.73 s
http://mirror.selfnet.de/archlinux/,62.34 KiB/s,1.95 s
http://ftp.otenet.gr/linux/archlinux/,60.08 KiB/s,2.02 s
http://ftp.df.lth.se/pub/archlinux/,65.39 KiB/s,1.85 s
http://pet.inf.ufsc.br/mirrors/archlinux/,46.42 KiB/s,2.61 s
http://archlinux.nautile.nc/archlinux/,30.40 KiB/s,3.99 s
http://mirror.archlinux.ro/archlinux/,46.10 KiB/s,2.63 s
http://ftp.cc.uoc.gr/mirrors/linux/archlinux/,65.51 KiB/s,1.85 s
http://mirrors.kernel.org/archlinux/,65.58 KiB/s,1.85 s
http://archlinux.limun.org/,74.92 KiB/s,1.62 s
http://ftp.tku.edu.tw/Linux/ArchLinux/,42.66 KiB/s,2.84 s
http://mirror.its.dal.ca/archlinux/,76.54 KiB/s,1.58 s
http://mirror.cse.iitk.ac.in/archlinux/,17.32 KiB/s,7.00 s
http://ftp.rnl.tecnico.ulisboa.pt/pub/archlinux/,58.58 KiB/s,2.07 s
http://archlinux.mirror.kangaroot.net/,29.55 KiB/s,4.10 s
http://archlinux.mirrors.ovh.net/archlinux/,67.85 KiB/s,1.79 s
http://ftp.jaist.ac.jp/pub/Linux/ArchLinux/,47.27 KiB/s,2.57 s
http://ftp.halifax.rwth-aachen.de/archlinux/,106.13 KiB/s,1.14 s
http://mirrors.163.com/archlinux/,19.73 KiB/s,6.15 s
http://artfiles.org/archlinux.org/,50.75 KiB/s,2.39 s
http://mirrors.cat.pdx.edu/archlinux/,78.05 KiB/s,1.55 s
http://mirror.datacenter.by/pub/archlinux/,61.46 KiB/s,1.97 s
http://archlinux.uib.no/,60.92 KiB/s,1.99 s
http://mirror.bjtu.edu.cn/archlinux/,21.73 KiB/s,5.58 s
http://mirror.vpsfree.cz/archlinux/,61.57 KiB/s,1.97 s
http://www.laqee.unal.edu.co/archlinux/,56.75 KiB/s,2.14 s
http://mirrors.prometeus.net/archlinux/,51.64 KiB/s,2.35 s
http://archlinux.mirror.root.lu/,92.44 KiB/s,1.31 s
http://archlinux.cs.nctu.edu.tw/,41.24 KiB/s,2.94 s
http://shadow.ind.ntou.edu.tw/archlinux/,40.09 KiB/s,3.02 s
http://mirrors.rutgers.edu/archlinux/,72.45 KiB/s,1.67 s
http://ftp.byfly.by/pub/archlinux/,42.54 KiB/s,2.85 s
http://archlinux.polymorf.fr/,73.05 KiB/s,1.66 s
http://ftp.ntua.gr/pub/linux/archlinux/,53.57 KiB/s,2.26 s
http://ftp.portlane.com/pub/os/linux/archlinux/,66.57 KiB/s,1.82 s
http://mirrors.nix.org.ua/linux/archlinux/,51.15 KiB/s,2.37 s
http://ftp.lysator.liu.se/pub/archlinux/,56.12 KiB/s,2.16 s
http://mirror.de.leaseweb.net/archlinux/,67.55 KiB/s,1.79 s
http://mirror.us.leaseweb.net/archlinux/,158.84 KiB/s,0.76 s
http://mirror.nl.leaseweb.net/archlinux/,65.37 KiB/s,1.86 s
http://mirrors.ustc.edu.cn/archlinux/,33.76 KiB/s,3.59 s
http://mirrors.n-ix.net/archlinux/,77.84 KiB/s,1.56 s
http://cosmos.cites.illinois.edu/pub/archlinux/,74.96 KiB/s,1.62 s
http://mirror.cinosure.com/archlinux/,60.84 KiB/s,1.99 s
http://mirrors.gigenet.com/archlinux/,107.71 KiB/s,1.13 s
http://archlinux.mirror.dkm.cz/pub/archlinux/,61.36 KiB/s,1.98 s
http://ftp.kaist.ac.kr/ArchLinux/,39.31 KiB/s,3.09 s
http://ftp.tuxdroid.org/archlinux/,94.00 KiB/s,1.29 s
http://mirror.lnx.sk/pub/linux/archlinux/,63.94 KiB/s,1.90 s
http://ftp.tsukuba.wide.ad.jp/Linux/archlinux/,48.89 KiB/s,2.48 s
http://mirror.neolabs.kz/archlinux/,44.15 KiB/s,2.75 s
http://mirror.bytemark.co.uk/archlinux/,33.82 KiB/s,3.59 s
http://archlinux.surlyjake.com/archlinux/,113.14 KiB/s,1.07 s
http://mirror.chmuri.net/archmirror/,58.78 KiB/s,2.06 s
http://mirrors.liquidweb.com/archlinux/,41.35 KiB/s,2.93 s
http://mirror.pmf.kg.ac.rs/archlinux/,54.91 KiB/s,2.21 s
http://foss.aueb.gr/mirrors/linux/archlinux/,16.43 KiB/s,7.38 s
http://mirror.rol.ru/archlinux/,48.13 KiB/s,2.52 s
http://archlinux.openlabto.org/archlinux/,63.86 KiB/s,1.90 s
http://ftp.wa.co.za/pub/archlinux/,38.75 KiB/s,3.13 s
http://arch.apt-get.eu/,77.02 KiB/s,1.57 s
http://mirror.i3d.net/pub/archlinux/,69.71 KiB/s,1.74 s
http://mirror.archlinux.ikoula.com/archlinux/,48.98 KiB/s,2.48 s
http://mirror.jmu.edu/pub/archlinux/,92.47 KiB/s,1.31 s
http://mirror.xnet.co.nz/pub/archlinux/,44.19 KiB/s,2.74 s
http://mirror.nus.edu.sg/archlinux/,30.67 KiB/s,3.95 s
http://archlinux.mirror.rafal.ca/,96.57 KiB/s,1.26 s
http://mirror.nexcess.net/archlinux/,85.01 KiB/s,1.43 s
http://ftp.swin.edu.au/archlinux/,41.83 KiB/s,2.90 s
http://mirror.michael-eckert.net/archlinux/,64.93 KiB/s,1.87 s
http://mirror.cc.columbia.edu/pub/linux/archlinux/,99.13 KiB/s,1.22 s
http://www.mirrorservice.org/sites/ftp.archlinux.org/,115.54 KiB/s,1.05 s
http://mirror.metrocast.net/archlinux/,133.47 KiB/s,0.91 s
http://mirrors.tuna.tsinghua.edu.cn/archlinux/,39.72 KiB/s,3.05 s
http://osl.ugr.es/archlinux/,52.32 KiB/s,2.32 s
http://ftp.snt.utwente.nl/pub/os/linux/archlinux/,65.88 KiB/s,1.84 s
http://archlinux.mirror.vexxhost.com/,88.20 KiB/s,1.38 s
http://mirrors.neusoft.edu.cn/archlinux/,35.48 KiB/s,3.42 s
http://mirror.netcologne.de/archlinux/,80.08 KiB/s,1.51 s
http://mirror1.htu.tugraz.at/archlinux/,61.38 KiB/s,1.98 s
http://mirror.united-gameserver.de/archlinux/,64.67 KiB/s,1.88 s
http://ftp.vectranet.pl/archlinux/,59.43 KiB/s,2.04 s
http://mirrors.aggregate.org/archlinux/,72.59 KiB/s,1.67 s
http://linux.rz.rub.de/archlinux/,60.75 KiB/s,2.00 s
http://archlinux.vi-di.fr/,77.03 KiB/s,1.57 s
http://ftp.hawo.stw.uni-erlangen.de/archlinux/,67.06 KiB/s,1.81 s
http://archlinux.dcc.fc.up.pt/,34.01 KiB/s,3.57 s
http://mirror.rackspace.com/archlinux/,44.22 KiB/s,2.74 s
http://archlinux.mirror.uber.com.au/,33.59 KiB/s,3.61 s
http://archlinux.aubrac-medical.fr/,16.82 KiB/s,7.21 s
http://mirror.system.is/arch/,15.47 KiB/s,7.84 s
http://archlinux.mirrors.linux.ro/,15.04 KiB/s,8.06 s
http://mirror.clibre.uqam.ca/archlinux/,95.87 KiB/s,1.26 s
http://suro.ubaya.ac.id/archlinux/,36.48 KiB/s,3.32 s
http://archlinux.dropswitch.net/archlinux/,106.43 KiB/s,1.14 s
http://mirror.vtti.vt.edu/archlinux/,81.96 KiB/s,1.48 s
http://mirror.hactar.bz/,78.14 KiB/s,1.55 s
http://mirrors.cecsresearch.org/archlinux/,120.54 KiB/s,1.01 s
http://arch.tamcore.eu/,62.19 KiB/s,1.95 s
http://mirrors.ispros.com.bd/archlinux/,38.79 KiB/s,3.13 s
http://mirror.rackcentral.com.au/archlinux/,44.55 KiB/s,2.72 s
http://mirror.premi.st/archlinux/,39.79 KiB/s,3.05 s
http://mirrors.manchester.m247.com/arch-linux/,87.13 KiB/s,1.39 s
http://mirrors.hust.edu.cn/archlinux/,14.84 KiB/s,8.17 s
http://arch.nimukaito.net/,63.48 KiB/s,1.91 s
http://mirror.yazd.ac.ir/arch/,33.36 KiB/s,3.63 s
http://download.nus.edu.sg/mirror/arch/,32.35 KiB/s,3.75 s
http://mirror.gnomus.de/,59.93 KiB/s,2.02 s
http://mirror.js-webcoding.de/pub/archlinux/,59.91 KiB/s,2.02 s
http://mirrors.advancedhosters.com/archlinux/,177.68 KiB/s,0.68 s
http://archlinux.neuf.no/,29.92 KiB/s,4.05 s
http://mirror.k42.ch/archlinux/,61.51 KiB/s,1.97 s
http://archlinux.akmc.lt/,55.68 KiB/s,2.18 s
http://mirror.oss.maxcdn.com/archlinux/,37.95 KiB/s,3.19 s
http://archlinux.iskon.hr/,72.96 KiB/s,1.66 s
http://gluttony.sin.cvut.cz/arch/,51.97 KiB/s,2.33 s
http://mir.art-software.fr/arch/,81.59 KiB/s,1.49 s
http://mirror.tyborek.pl/arch/,74.03 KiB/s,1.64 s
http://mirror.cedia.org.ec/archlinux/,41.46 KiB/s,2.92 s
http://mirrors.nic.cz/archlinux/,65.98 KiB/s,1.84 s
http://mirror.es.its.nyu.edu/archlinux/,101.25 KiB/s,1.20 s
http://mirror.one.com/archlinux/,62.71 KiB/s,1.93 s
http://mirror.cs.pitt.edu/archlinux/,160.71 KiB/s,0.75 s
http://mirror.23media.de/archlinux/,86.28 KiB/s,1.41 s
http://tux.rainside.sk/archlinux/,73.56 KiB/s,1.65 s
http://mirror.t-home.mk/archlinux/,63.01 KiB/s,1.92 s
http://run.hit.edu.cn/archlinux/,35.03 KiB/s,3.46 s
http://f.archlinuxvn.org/archlinux/,38.09 KiB/s,3.18 s
http://ftp.yzu.edu.tw/Linux/archlinux/,38.68 KiB/s,3.13 s
http://mirrors.abscission.net/archlinux/,83.09 KiB/s,1.46 s
http://mirror.yellowfiber.net/archlinux/,113.73 KiB/s,1.07 s
http://mirrors.niyawe.de/archlinux/,55.74 KiB/s,2.18 s
http://archlinux.mirror.pkern.at/,80.07 KiB/s,1.51 s
http://archlinux.my-universe.com/,26.95 KiB/s,4.50 s
http://mirror.grig.io/archlinux/,111.76 KiB/s,1.08 s
http://archlinux.pallissard.net/archlinux/,214.80 KiB/s,0.56 s
http://arch.yourlabs.org/,93.25 KiB/s,1.30 s
http://atviras.lt/veidrodziai/archlinux/,82.28 KiB/s,1.47 s
http://arch.packages.gnp-tec.net/,61.60 KiB/s,1.97 s
http://ftp.uni-hannover.de/archlinux/,63.92 KiB/s,1.90 s
http://mirror.kavalinux.com/archlinux/,43.14 KiB/s,2.81 s
http://mirror.lastmikoi.net/archlinux/,31.03 KiB/s,3.91 s
http://archlinux.koyanet.lv/archlinux/,63.05 KiB/s,1.92 s
http://mirror.poliwangi.ac.id/archlinux/,40.73 KiB/s,2.98 s
http://arch.localmsp.org/arch/,109.54 KiB/s,1.11 s
http://ftp.myrveln.se/pub/linux/archlinux/,68.11 KiB/s,1.78 s
http://archlinux.mailtunnel.eu/,71.06 KiB/s,1.71 s
http://ftp.u-strasbg.fr/linux/distributions/archlinux/,68.08 KiB/s,1.78 s
http://mirror.espoch.edu.ec/archlinux/,107.95 KiB/s,1.12 s
http://archlinux.beccacervello.it/archlinux/,65.54 KiB/s,1.85 s
http://ftp.iitm.ac.in/archlinux/,7.20 KiB/s,16.86 s
http://arch.static.lu/,0.00 KiB/s,nan s
http://mirror.lightcone.eu/archlinux/,77.04 KiB/s,1.57 s
http://mirrors.cqu.edu.cn/archlinux/,34.14 KiB/s,3.55 s
http://mirror.easyname.at/archlinux/,59.92 KiB/s,2.02 s
http://mirrors.zju.edu.cn/archlinux/,0.00 KiB/s,nan s
http://archlinux.mirror.digitalpacific.com.au/,20.76 KiB/s,5.84 s
